id,topicId,question,optionA,optionB,optionC,answer,explanation,pdfFile,pdfPage
401,4,Ideal Op-Amp Input Impedance:,0,Infinite,50 Ohm,Infinite,"Ideally, it draws zero current at input terminals, implying infinite impedance.",EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
402,4,Ideal Op-Amp Output Impedance:,0,Infinite,1k Ohm,0,"Ideally, it acts as a perfect voltage source that can drive any load, implying zero output impedance.",EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
403,4,Ideal Op-Amp Open Loop Gain:,1,100,Infinite,Infinite,Ideally infinite gain allows negative feedback to precisely control the closed-loop gain.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,7
404,4,Virtual Short concept implies:,V+ = V-,V+ = 0,Inputs are shorted to ground,V+ = V-,"Negative feedback forces the differential input voltage to zero, so V+ ≈ V-.",EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
405,4,Virtual Ground occurs when:,Non-inverting input is grounded,Inverting input is grounded,Output is grounded,Non-inverting input is grounded,V- follows V+ (0V).,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
406,4,Inverting Amplifier Gain:,-Rf/Rin,1 + Rf/Rin,Rf/Rin,-Rf/Rin,Standard formula.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
407,4,Non-Inverting Amplifier Gain:,-Rf/Rin,1 + Rf/Rin,1,1 + Rf/Rin,Standard formula.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
408,4,Voltage Follower Gain:,1,-1,Infinite,1,Buffer.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
409,4,Why use a Voltage Follower?,Impedance matching/Buffering,Amplification,Inversion,Impedance matching/Buffering,"High Zin, Low Zout.",EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
410,4,Summing Amplifier is based on:,KCL at inverting node,KVL at output,Ohm's law only,KCL at inverting node,Currents sum up.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
411,4,Difference Amplifier measures:,V2 - V1,V2 + V1,V1 * V2,V2 - V1,Subtracts inputs.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
412,4,CMRR stands for:,Common Mode Rejection Ratio,Current Mode Ratio,Common Mode Resistance,Common Mode Rejection Ratio,Ability to reject noise.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
413,4,Ideal CMRR is:,0,1,Infinite,Infinite,Rejects common signals perfectly.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
414,4,Slew Rate is limit on:,Rate of change of Vout,Current output,Input voltage,Rate of change of Vout,Speed of response (V/us).,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
415,4,Integrator circuit uses:,C in feedback,L in feedback,R in feedback,C in feedback,Vout = -1/RC integral(Vin).,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,3
416,4,Differentiator circuit uses:,C in input,C in feedback,L in input,C in input,Vout = -RC dVin/dt.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,3
417,4,Op-Amp Comparator output is:,Linear,Saturated (Rail to Rail),Zero,Saturated (Rail to Rail),Switches between Vcc and Vee.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,7
418,4,Schmitt Trigger adds:,Hysteresis,Gain,Bandwidth,Hysteresis,Positive feedback.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
419,4,Negative feedback improves:,Stability and Bandwidth,Gain,Noise,Stability and Bandwidth,Trades gain for performance.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
420,4,Positive feedback causes:,Oscillation/Saturation,Stability,Filtering,Oscillation/Saturation,Used in oscillators.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
421,4,Gain-Bandwidth Product (GBP) is:,Constant,Variable,Zero,Constant,For a given op-amp.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
422,4,Input Bias Current is:,Current entering inputs,Current at output,Supply current,Current entering inputs,Non-ideal behavior.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
423,4,Input Offset Voltage causes:,Output error when Vin=0,Gain error,Bandwidth limit,Output error when Vin=0,Internal mismatch.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
424,4,Instrumentation Amplifier has:,High CMRR and Impedance,Low Impedance,Low Gain,High CMRR and Impedance,Precision measurement.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
425,4,Active Filter use:,Op-Amps + RC,L and C only,Transistors only,Op-Amps + RC,Avoids inductors.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
426,4,Butterworth filter characteristic:,Maximally flat passband,Steep roll-off,Ripple in passband,Maximally flat passband,Smooth.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
427,4,Chebyshev filter characteristic:,Ripple in passband,Flat passband,Linear phase,Ripple in passband,Steeper roll-off.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
428,4,Sallen-Key topology is:,Active filter,Oscillator,Amplifier,Active filter,Common 2nd order block.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
429,4,Op-Amp supply rails determine:,Max output swing,Gain,Bandwidth,Max output swing,Cannot exceed Vcc/Vee.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,7
430,4,Single supply op-amp needs:,Virtual ground biasing,Negative rail,AC only,Virtual ground biasing,Usually at Vcc/2.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,7
431,4,PSRR stands for:,Power Supply Rejection Ratio,Phase Shift Ratio,Power Source Ratio,Power Supply Rejection Ratio,Immunity to supply ripple.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
432,4,Ground loop causes:,Noise/Hum,Gain increase,Offset,Noise/Hum,Current flow in ground.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
433,4,Decoupling capacitors are placed:,Near power pins,At input,At output,Near power pins,Stabilize supply.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,2
434,4,Output short circuit protection:,Limits current,Limits voltage,Stops op-amp,Limits current,Safety feature.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,3
435,4,Thermal shutdown occurs if:,Op-Amp gets too hot,Input is too high,Output is zero,Op-Amp gets too hot,Safety.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
436,4,Transimpedance amplifier converts:,Current to Voltage,Voltage to Current,R to C,Current to Voltage,I-V converter.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
437,4,Transconductance amplifier converts:,Voltage to Current,Current to Voltage,R to L,Voltage to Current,V-I converter (OTA).,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
438,4,Log amplifier uses:,Diode/BJT in feedback,Capacitor,Resistor,Diode/BJT in feedback,Logarithmic IV curve.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
439,4,Precision rectifier overcomes:,Diode voltage drop,Reverse leakage,Speed limit,Diode voltage drop,Ideal diode behavior.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
440,4,Window comparator detects:,If voltage is within range,If voltage is positive,Peak voltage,If voltage is within range,Two limits.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
441,4,Sample and Hold circuit uses:,Switch and Capacitor,Inductor,Resistor,Switch and Capacitor,Stores voltage.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,3
442,4,Peak detector stores:,Max voltage,Average voltage,RMS voltage,Max voltage,Using diode and C.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
443,4,Zero crossing detector switches when:,Input crosses 0V,Input is max,Output is 0,Input crosses 0V,Phase detection.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
444,4,Relaxation oscillator uses:,RC charging + Hysteresis,LC tank,Crystal,RC charging + Hysteresis,Square wave gen.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
445,4,Wien Bridge oscillator produces:,Sine wave,Square wave,Triangle wave,Sine wave,Audio freq.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
446,4,Phase shift oscillator uses:,RC network,LC tank,Quartz,RC network,180 deg shift.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,10
447,4,Triangle wave generator integrates:,Square wave,Sine wave,Ramp,Square wave,Linear charge.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
448,4,Multivibrator stable states (Bi-stable):,2,1,0,2,Flip-flop.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
449,4,Monostable multivibrator is a:,One-shot timer,Clock,Memory,One-shot timer,One stable state.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
450,4,Astable multivibrator is a:,Oscillator (Clock),Timer,Switch,Oscillator (Clock),No stable states.,EE2101_CIRCUIT_ANALYSIS_LECTURE_4_V1(1).pdf,1
501,5,Laplace transform converts:,Time domain to s-domain,Freq to Time,Time to Discrete,Time domain to s-domain,Differential eqn to Algebra.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,11
502,5,Variable 's' is:,Complex frequency (sigma + jw),Real freq,Time,Complex frequency (sigma + jw),Definition.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
503,5,L{delta(t)} (Impulse) is:,1,1/s,s,1,Flat spectrum.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,13
504,5,L{u(t)} (Step) is:,1/s,1,1/s^2,1/s,Integration.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,13
505,5,L{e^-at} is:,1/(s+a),1/(s-a),s+a,1/(s+a),Exponential decay.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
506,5,L{sin(wt)} is:,w / (s^2 + w^2),s / (s^2 + w^2),1 / (s^2 + w^2),w / (s^2 + w^2),Standard pair.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,21
507,5,L{cos(wt)} is:,s / (s^2 + w^2),w / (s^2 + w^2),s / (s+w),s / (s^2 + w^2),Standard pair.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,16
508,5,L{t} (Ramp) is:,1/s^2,1/s,2/s^3,1/s^2,Integration of step.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
509,5,Differentiation in time L{df/dt} corresponds to:,sF(s) - f(0),F(s)/s,sF(s),sF(s) - f(0),Frequency derivative.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,2
510,5,Integration in time L{integral f} corresponds to:,F(s)/s,sF(s),F(s),F(s)/s,Frequency integration.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,2
511,5,Final Value Theorem applies if:,Poles are in LHP (stable),Poles in RHP,Anytime,Poles are in LHP (stable),System must settle.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,20
512,5,Initial Value Theorem gives f(0) from:,lim s->inf sF(s),lim s->0 sF(s),F(0),lim s->inf sF(s),High freq behavior.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,2
513,5,Shift in time f(t-a)u(t-a) corresponds to:,e^-as F(s),e^as F(s),F(s-a),e^-as F(s),Time delay.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,20
514,5,Shift in frequency F(s+a) corresponds to:,e^-at f(t),f(t-a),e^at f(t),e^-at f(t),Modulation/Damping.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,5
515,5,Convolution f * g corresponds to:,F(s) * G(s),F(s) + G(s),F(s) / G(s),F(s) * G(s),Multiplication in s.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,7
516,5,Transfer Function H(s) is:,Y(s) / X(s),X(s) / Y(s),Y(s) * X(s),Y(s) / X(s),Output over Input.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,2
517,5,Region of Convergence (ROC) relates to:,Existence of Transform,Amplitude,Phase,Existence of Transform,Integral convergence.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
518,5,Inverse Laplace is found via:,Partial Fraction Expansion,Differentiation,Integration,Partial Fraction Expansion,Break down into known pairs.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,11
519,5,Resistor in s-domain:,R,sR,1/sR,R,No frequency dependence.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,2
520,5,Inductor in s-domain (zero init):,sL,1/sL,L,sL,Impedance.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,11
521,5,Capacitor in s-domain (zero init):,1/sC,sC,C,1/sC,Impedance.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,11
522,5,Impulse response h(t) is inverse Laplace of:,Transfer function H(s),Input X(s),Output Y(s),Transfer function H(s),Input is 1.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,11
523,5,Stability is determined by:,Poles,Zeros,Gain,Poles,Denominator roots.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,3
524,5,System is stable if poles are in:,Left Half Plane,Right Half Plane,Imaginary Axis,Left Half Plane,Decaying exponentials.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,3
525,5,Marginal stability occurs if poles are on:,Imaginary Axis (simple),Real Axis,RHP,Imaginary Axis (simple),Oscillatory constant.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,3
526,5,Zeros of H(s) affect:,Amplitude/Phase,Stability,DC gain only,Amplitude/Phase,Blocks frequencies.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,3
527,5,DC Gain is found by setting s to:,0,Infinity,1,0,Zero frequency.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
528,5,High frequency gain is s ->:,Infinity,0,1,Infinity,Limit.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,5
529,5,Order of system is:,Highest power of s in denominator,Number of zeros,Number of inputs,Highest power of s in denominator,Number of states.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,2
530,5,Proper transfer function has:,Deg(Num) <= Deg(Den),Deg(Num) > Deg(Den),No poles,Deg(Num) <= Deg(Den),Realizable.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,2
531,5,Step response is integral of:,Impulse response,Ramp response,Input,Impulse response,Accumulation.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,13
532,5,Pole at origin (1/s) represents:,Integrator,Differentiator,Gain,Integrator,Accumulator.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,3
533,5,Zero at origin (s) represents:,Differentiator,Integrator,Delay,Differentiator,Slope.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,3
534,5,Complex conjugate poles result in:,Oscillation,Exponential decay only,Instability,Oscillation,Sinusoidal component.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,3
535,5,Unilateral Laplace Transform integrates from:,0- to Infinity,-Inf to Inf,0 to T,0- to Infinity,Causal systems.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,11
536,5,Bilinear transform maps s-plane to:,z-plane,t-domain,w-plane,z-plane,Digital control.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,11
537,5,Initial energy in L is modeled as:,Current source in parallel,Voltage source in parallel,Resistor,Current source in parallel,With 1/sL impedance.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,11
538,5,Initial voltage on C is modeled as:,Voltage source in series,Current source in series,Resistor,Voltage source in series,V/s source.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,11
539,5,Residue theorem is used for:,Inverse Laplace,Forward Laplace,Stability,Inverse Laplace,PFE coefficients.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,20
540,5,"Cascaded blocks H1, H2 total generic:",H1 * H2,H1 + H2,H1 / H2,H1 * H2,Multiplication.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
541,5,"Parallel blocks H1, H2 total:",H1 + H2,H1 * H2,H1 - H2,H1 + H2,Summation.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
542,5,Feedback system transfer function:,G / (1 + GH),G * H,G + H,G / (1 + GH),Black's formula.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,2
543,5,Characteristic equation is:,1 + GH = 0,G = 0,H = 0,1 + GH = 0,Determines poles.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,6
544,5,Routh-Hurwitz criterion checks:,Stability,Accuracy,Speed,Stability,Without solving roots.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
545,5,Root Locus plots movement of:,Poles vs Gain,Zeros vs Time,Response,Poles vs Gain,Design tool.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
546,5,Bode Plot shows:,Magnitude and Phase vs Freq,Pole locations,Time response,Magnitude and Phase vs Freq,Frequency response.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
547,5,Decibel (dB) gain is:,20 log(mag),10 log(mag),ln(mag),20 log(mag),Voltage gain.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
548,5,Low pass filter pole location:,-w_c,0,+w_c,-w_c,Corner frequency.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,3
549,5,State space representation uses:,Matrices,Transfer functions only,Graphs,Matrices,ABCD matrices.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,1
550,5,Laplace of t*f(t):,-dF/ds,F'(s),sF(s),-dF/ds,Frequency differentiation.,EE2101_CIRCUIT_ANALYSIS_LECTURE_7_V3.pdf,11
601,6,Network function H(s) is ratio of:,Response to Excitation,Excitation to Response,Power to Voltage,Response to Excitation,Output/Input.,EE2101 - W9_Two Port Networks.pdf,105
602,6,Driving point impedance is:,V(s)/I(s) at same port,V2/V1,I2/I1,V(s)/I(s) at same port,Input impedance.,EE2101 - W9_Two Port Networks.pdf,48
603,6,Transfer impedance is:,V_out / I_in,V_in / I_out,V_out / V_in,V_out / I_in,Transimpedance.,EE2101 - W9_Two Port Networks.pdf,48
604,6,Voltage gain function:,V2/V1,I2/I1,V2/I1,V2/V1,Dimensionless.,EE2101 - W9_Two Port Networks.pdf,61
605,6,Poles of H(s) determine:,Natural response/Stability,Magnitude only,Zeros,Natural response/Stability,Time domain form.,EE2101 - W9_Two Port Networks.pdf,99
606,6,Zeros of H(s) determine:,Frequencies blocked,Stability,Decay rate,Frequencies blocked,Transmission zeros.,EE2101 - W9_Two Port Networks.pdf,99
607,6,Reciprocal network implies:,Z12 = Z21,Z11 = Z22,Z11 = 0,Z12 = Z21,Swap input/output.,EE2101 - W9_Two Port Networks.pdf,93
608,6,Symmetrical network implies:,Z11 = Z22,Z12 = 0,Z21 = 1,Z11 = Z22,Input/Output ports identical.,EE2101 - W9_Two Port Networks.pdf,93
609,6,Z-parameters are:,Impedance parameters,Admittance parameters,Hybrid,Impedance parameters,Open circuit Z.,EE2101 - W9_Two Port Networks.pdf,84
610,6,Y-parameters are:,Admittance parameters,Impedance parameters,Transmission,Admittance parameters,Short circuit Y.,EE2101 - W9_Two Port Networks.pdf,84
611,6,h-parameters are:,Hybrid parameters,High parameters,Heat parameters,Hybrid parameters,Mixed units.,EE2101 - W9_Two Port Networks.pdf,84
612,6,ABCD parameters are:,Transmission parameters,Gain parameters,Scatter,Transmission parameters,Chain parameters.,EE2101 - W9_Two Port Networks.pdf,84
613,6,Condition for reciprocity in ABCD:,AD - BC = 1,A = D,B = C,AD - BC = 1,Determinant is 1.,EE2101 - W9_Two Port Networks.pdf,95
614,6,Condition for symmetry in ABCD:,A = D,B = C,AD - BC = 0,A = D,Input/Output match.,EE2101 - W9_Two Port Networks.pdf,102
615,6,Z11 is measured with:,Port 2 Open,Port 2 Short,Port 1 Short,Port 2 Open,Input impedance open.,EE2101 - W9_Two Port Networks.pdf,1
616,6,Y11 is measured with:,Port 2 Short,Port 2 Open,Port 1 Open,Port 2 Short,Input admittance short.,EE2101 - W9_Two Port Networks.pdf,1
617,6,h21 represents:,Forward Current Gain,Input Impedance,Output Admittance,Forward Current Gain,Current ratio.,EE2101 - W9_Two Port Networks.pdf,1
618,6,g-parameters are inverse of:,h-parameters,z-parameters,y-parameters,h-parameters,Inverse hybrid.,EE2101 - W9_Two Port Networks.pdf,84
619,6,T-network is equivalent to:,Y-network (Star),Pi-network (Delta),Bridge,Y-network (Star),Topology.,EE2101 - W9_Two Port Networks.pdf,105
620,6,Pi-network is equivalent to:,Delta,Star,Series,Delta,Topology.,EE2101 - W9_Two Port Networks.pdf,105
621,6,Interconnection of Z-params in series:,Z_eq = Z_a + Z_b,Z_eq = Z_a * Z_b,Z_eq = Z_a || Z_b,Z_eq = Z_a + Z_b,Matrices add.,EE2101 - W9_Two Port Networks.pdf,105
622,6,Interconnection of Y-params in parallel:,Y_eq = Y_a + Y_b,Y_eq = Y_a * Y_b,Inverse,Y_eq = Y_a + Y_b,Matrices add.,EE2101 - W9_Two Port Networks.pdf,105
623,6,Cascade connection uses:,ABCD parameters,Z parameters,h parameters,ABCD parameters,Matrix multiplication.,EE2101 - W9_Two Port Networks.pdf,105
624,6,Image impedance matches:,Source and Load for symmetry,Only Source,Only Load,Source and Load for symmetry,Iterative impedance.,EE2101 - W9_Two Port Networks.pdf,48
625,6,Bartlett's Bisection Theorem finds:,Lattice equivalents,Poles,Gain,Lattice equivalents,Symmetric networks.,EE2101 - W9_Two Port Networks.pdf,1
626,6,"Ideally, passband attenuation is:",0 dB,3 dB,Infinite,0 dB,No loss.,EE2101 - W9_Two Port Networks.pdf,72
627,6,Stopband attenuation should include:,Infinite attenuation,0 dB,Gain,Infinite attenuation,Total block.,EE2101 - W9_Two Port Networks.pdf,72
628,6,Cutoff frequency is defined at:,-3 dB power point,-10 dB,0 dB,-3 dB power point,Half power.,EE2101 - W9_Two Port Networks.pdf,1
629,6,Quality factor Q of bandpass filter:,Center freq / Bandwidth,Bandwidth / Center freq,Gain / Freq,Center freq / Bandwidth,Selectivity.,EE2101 - W9_Two Port Networks.pdf,48
630,6,Sensitivity analysis measures:,Change in H per change in element,Input limit,Noise,Change in H per change in element,Robustness.,EE2101 - W9_Two Port Networks.pdf,139
631,6,Hurwitz polynomial has roots in:,LHP only,RHP only,Anywhere,LHP only,Stable denominator.,EE2101 - W9_Two Port Networks.pdf,1
632,6,Positive Real Function (PRF) represents:,Passive driving point impedance,Active gain,Unstable system,Passive driving point impedance,Real parts > 0.,EE2101 - W9_Two Port Networks.pdf,35
633,6,Bott-Duffin synthesis avoids:,Transformers,Capacitors,Resistors,Transformers,Realization technique.,EE2101 - W9_Two Port Networks.pdf,48
634,6,Foster Form I involves:,Partial fraction of Z(s),Continued fraction,Product,Partial fraction of Z(s),Series LC tanks.,EE2101 - W9_Two Port Networks.pdf,11
635,6,Cauer Form I involves:,Continued fraction expansion,Partial fraction,Sum,Continued fraction expansion,Ladder network.,EE2101 - W9_Two Port Networks.pdf,11
636,6,Constant K filter is a:,Prototype filter,Active filter,Digital filter,Prototype filter,Image parameter method.,EE2101 - W9_Two Port Networks.pdf,48
637,6,m-derived filter improves:,Rolloff steepness,Passband,Gain,Rolloff steepness,Sharper cutoff.,EE2101 - W9_Two Port Networks.pdf,48
638,6,Attenuator is a:,Resistive network to reduce signal,Amplifier,Filter,Resistive network to reduce signal,Fixed loss.,EE2101 - W9_Two Port Networks.pdf,1
639,6,Unit of attenuation:,Neper or Decibel,Watt,Henry,Neper or Decibel,Log ratios.,EE2101 - W9_Two Port Networks.pdf,72
640,6,Scattering parameters (S-params) used for:,RF/Microwave,DC,Audio,RF/Microwave,Wave reflections.,EE2101 - W9_Two Port Networks.pdf,84
641,6,S11 represents:,Input reflection coefficient,Forward gain,Output match,Input reflection coefficient,Return loss.,EE2101 - W9_Two Port Networks.pdf,1
642,6,S21 represents:,Forward transmission gain,Reverse isolation,Reflection,Forward transmission gain,Throughput.,EE2101 - W9_Two Port Networks.pdf,1
643,6,Conversion Z to Y:,Inverse matrix,Transpose,Identity,Inverse matrix,[Y] = [Z]^-1.,EE2101 - W9_Two Port Networks.pdf,1
644,6,Determinant of Z-matrix Delta_Z is:,Z11Z22 - Z12Z21,Z11+Z22,Z11*Z22,Z11Z22 - Z12Z21,Standard det.,EE2101 - W9_Two Port Networks.pdf,128
645,6,Input impedance in terms of ABCD:,(A Zl + B) / (C Zl + D),A Zl,B / D,(A Zl + B) / (C Zl + D),Transmission eqn.,EE2101 - W9_Two Port Networks.pdf,48
646,6,Gyrator is a:,Non-reciprocal device,Resistor,Capacitor,Non-reciprocal device,Simulates inductance.,EE2101 - W9_Two Port Networks.pdf,1
647,6,NIC (Negative Impedance Converter) converts:,Z to -Z,R to C,V to I,Z to -Z,Active circuit.,EE2101 - W9_Two Port Networks.pdf,48
648,6,All-pass filter affects:,Phase only,Amplitude only,Neither,Phase only,Flat gain.,EE2101 - W9_Two Port Networks.pdf,48
649,6,Notch filter rejects:,Specific narrow band,Low freq,High freq,Specific narrow band,Band stop.,EE2101 - W9_Two Port Networks.pdf,48
650,6,Equalizer corrects:,Frequency response distortion,DC offset,Power factor,Frequency response distortion,Flattens response.,EE2101 - W9_Two Port Networks.pdf,1
701,7,DC stands for:,Direct Current,Digital Current,Dual Current,Direct Current,Constant polarity.,EE2101 - W10_Sinusoids and Phasors.pdf,1
702,7,AC stands for:,Alternating Current,Active Current,Analog Current,Alternating Current,Changing polarity.,EE2101 - W10_Sinusoids and Phasors.pdf,1
703,7,Frequency of DC is:,0 Hz,50 Hz,Infinite,0 Hz,No change over time.,EE2101 - W10_Sinusoids and Phasors.pdf,63
704,7,"In an AC system, frequency represents:",Cycles per second,Amplitude variation,Phase shift,Cycles per second,Definition of Hz.,EE2101 - W10_Sinusoids and Phasors.pdf,63
705,7,Period T of a waveform is related to frequency f by:,T = 1/f,T = f,T = 2f,T = 1/f,Inverse relationship.,EE2101 - W10_Sinusoids and Phasors.pdf,63
706,7,RMS stands for:,Root Mean Square,Real Mean Sum,Rated Max Speed,Root Mean Square,Effective DC value.,EE2101 - W10_Sinusoids and Phasors.pdf,22
707,7,RMS value of sine wave with peak Vm:,Vm / sqrt(2),Vm * sqrt(2),Vm / 2,Vm / sqrt(2),0.707 * Vm.,EE2101 - W10_Sinusoids and Phasors.pdf,22
708,7,Average value of full sine wave over one period:,0,Vm,Vm/2,0,Positive cancels negative.,EE2101 - W10_Sinusoids and Phasors.pdf,2
709,7,Average value of half-wave rectified sine:,Vm / pi,2Vm / pi,0,Vm / pi,DC component.,EE2101 - W10_Sinusoids and Phasors.pdf,7
710,7,Form factor is ratio of:,RMS to Average,Peak to RMS,RMS to Peak,RMS to Average,Waveform shape metric.,EE2101 - W10_Sinusoids and Phasors.pdf,42
