id,topic_id,difficulty,prompt,option_a,option_b,option_c,option_d,answer,image_url,explanation,created_at,type
123,7,1,Calculate the reactance (XL) of a 5 H inductor when connected to a DC voltage source.,5 Ohm,0 Ohm,Infinite,2.5 Ohm,0 Ohm,NULL,NULL,45:00.7,mcq
124,7,1,Calculate the reactance (XL) of the same 5 H inductor when connected to an AC source with ω = 10 rad/s.,50 Ohm,0.5 Ohm,5 Ohm,0 Ohm,50 Ohm,NULL,NULL,45:00.7,mcq
125,7,2,"Which of the following correctly describes the ""Effective Value"" (RMS) of an AC current?",It is the peak value divided by 2,It is the average value over half a cycle,It is the equivalent DC current that delivers the same average power to a resistor,It is the value measured by a DC ammeter,It is the equivalent DC current that delivers the same average power to a resistor,NULL,NULL,45:00.7,mcq
126,7,2,Determine the RMS value of a sinusoidal voltage v(t) with a peak amplitude of 100 V.,100 V,141.4 V,70.7 V,50 V,70.7 V,NULL,NULL,45:00.7,mcq
127,7,2,What is the RMS value of a steady DC voltage v(t) = 10 V?,0 V,10 V,7.07 V,14.14 V,10 V,NULL,NULL,45:00.7,mcq
128,7,3,Why can we NOT use Phasors to solve a circuit that has both DC and AC sources simultaneously in a single step?,Phasors are frequency-specific; DC and AC have different frequencies,Phasors only work for resistors,DC sources cannot be represented in math,AC sources cancel out DC sources,Phasors are frequency-specific; DC and AC have different frequencies,NULL,NULL,45:00.7,mcq
129,7,3,"In a Series RC circuit, if the frequency of the source omega increases from 0 (DC) to Infinity, what happens to the magnitude of the total impedance |Z|?",It increases,It decreases,It stays constant,It oscillates,It decreases,NULL,NULL,45:00.7,mcq
130,7,3,A current is given by i(t) = 5 cos(377t). What is the frequency f in Hertz?,50 Hz,60 Hz,377 Hz,120 Hz,60 Hz,NULL,NULL,45:00.7,mcq
131,7,3,"A voltage source v(t) = 12 + 10 cos(2t) V is connected to a Series RL circuit (R=4, L=2). Calculate the DC component of the resulting current.",3.0 A,12.0 A,12.0A,2.4 A,3.0 A,NULL,NULL,45:00.7,mcq
132,7,3,"For the same circuit (R=4, L=2) and input v(t) = 12 + 10 cos(2t), calculate the AC component of the current in phasor form.",2.5 angle 0 deg A,1.77 angle -45 deg A,1.77 angle 45 deg A,10 angle 0 deg A,1.77 angle -45 deg A,NULL,NULL,45:00.7,mcq
133,7,3,Calculate the Total RMS value of the mixed current signal i(t) = 3 + 4 cos(t) A.,5.0 A,3.5 A,4.12 A,7.0 A,4.12 A,NULL,NULL,45:00.7,mcq
134,7,4,A resistor R=5 Ohm is fed by a current i(t) = 2 + 5 cos(10t) A. Calculate the Total Average Power absorbed.,45 W,82.5 W,145 W,20 W,82.5 W,NULL,NULL,45:00.7,mcq
135,7,4,Find the total energy W dissipated by a 10 Ohm resistor over 1 second if the current is i(t) = 5 A (DC).,25 J,50 J,250 J,500 J,250 J,NULL,NULL,45:00.7,mcq
136,7,4,A source v(t) = 20 + 20 cos(100t) is applied across a Capacitor C=1mF. What is the steady-state current i(t)?,20 mA,Sat Dec 30 1899 06:55:25 GMT+0655 (Singapore Standard Time),-2 sin(100t) A,20 + 2 cos(100t) A,-2 sin(100t) A,NULL,NULL,45:00.7,mcq
137,7,4,"Two voltage sources are in series: v1(t)=10V (DC) and v2(t)=10cos(t) V (AC). If measured by a standard DC Voltmeter, what will the reading be?",0 V,10 V,17.07 V,20 V,10 V,NULL,NULL,45:00.7,mcq
138,7,4,"For a signal v(t) = Vm cos(ωt), what is the ratio of the Maximum Instantaneous Power to the Average Power absorbed by a resistor?",1,1.414,2,0.5,2,NULL,NULL,45:00.7,mcq
139,7,4,Why is the current written as i(t)= I_DC + I_AC cos(ωt+ϕ)?,Because resistors require two currents,Because capacitors only respond to AC,Because phase angles must be included,Because DC and AC sources affect the circuit independently,Because DC and AC sources affect the circuit independently,NULL,NULL,45:00.7,mcq
